data,id
2015-08-26,40445
2015-08-26,43349
2015-08-26,41980
2015-08-26,7424
2015-08-26,41556
2015-08-26,35396
2015-08-26,41814
2015-08-26,41246
2015-08-26,34901
2015-08-26,42004
2015-08-26,43756
2015-08-26,40148
2015-08-26,43752
2015-08-26,34891
2015-08-26,33949
2015-08-26,18242
2015-08-26,41364
2015-08-26,39532
2015-08-26,40642
2015-08-26,40599
2015-08-26,43244
2015-08-26,41142
2015-08-26,43428
2015-08-26,44252
2015-08-26,41116
2015-08-26,43327
2015-08-26,37838
2015-08-26,42041
2015-08-26,43534
2015-08-26,27789
2015-08-27,40332
2015-08-27,41295
2015-08-27,31495
2015-08-27,43866
2015-08-27,40610
2015-08-27,44527
2015-08-27,39314
2015-08-27,41256
2015-08-27,40865
2015-08-27,13973
2015-08-27,42308
2015-08-27,39753
2015-08-27,38313
2015-08-27,43176
2015-08-27,38100
2015-08-27,38421
2015-08-27,42567
2015-08-27,39125
2015-08-27,36931
2015-08-28,40885
2015-08-28,40836
2015-08-28,13701
2015-08-28,40895
2015-08-28,40844
2015-08-28,44697
2015-08-28,39322
2015-08-28,44041
2015-08-28,39305
2015-08-28,34417
2015-08-28,40806
2015-08-28,36178
2015-08-28,40070
2015-08-28,38743
2015-08-28,39952
2015-08-28,41278
2015-08-28,44359
2015-08-28,39471
2015-08-28,39069
2015-08-28,40795
2015-08-28,41329
2015-08-28,44237
2015-08-31,39395
2015-08-31,39402
2015-08-31,38176
2015-08-31,41524
2015-08-31,41751
2015-08-31,37786
2015-08-31,42757
2015-08-31,38453
2015-08-31,15325
2015-08-31,43938
2015-08-31,41566
2015-08-31,40949
2015-08-31,40122
2015-08-31,41970
2015-08-31,44453
2015-08-31,44059
2015-08-31,43089
2015-08-31,42350
2015-08-31,42644
2015-08-31,36890
2015-08-31,42751
2015-08-31,41335
2015-08-31,42646
2015-08-31,42845
2015-08-31,41906
2015-08-31,40370
2015-08-31,44194
2015-09-01,32159
2015-09-01,39241
2015-09-01,37408
2015-09-01,43357
2015-09-01,34018
2015-09-01,36186
2015-09-01,18459
2015-09-01,42791
2015-09-01,31816
2015-09-01,34867
2015-09-01,44751
2015-09-01,42155
2015-09-01,44513
2015-09-01,14312
2015-09-01,42006
2015-09-01,36049
2015-09-01,31531
2015-09-01,40099
2015-09-01,40706
2015-09-01,32901
2015-09-01,44081
2015-09-01,30689
2015-09-01,34162
2015-09-01,40410
2015-09-01,13217
2015-09-01,33974
2015-09-01,17818
2015-09-01,37588
2015-09-01,38587
2015-09-01,38879
2015-09-01,22725
2015-09-01,35945
2015-09-01,33946
2015-09-01,35992
2015-09-02,35456
2015-09-02,42895
2015-09-02,36057
2015-09-02,43656
2015-09-02,43789
2015-09-02,41166
2015-09-02,38627
2015-09-02,42015
2015-09-02,32330
2015-09-02,25782
2015-09-02,41206
2015-09-02,39694
2015-09-02,43511
2015-09-02,22002
2015-09-02,43644
2015-09-02,34341
2015-09-02,43143
2015-09-02,43546
2015-09-02,17493
2015-09-02,43935
2015-09-02,44531
2015-09-02,44115
2015-09-02,44415
2015-09-02,44150
2015-09-02,19734
2015-09-02,43710
2015-09-02,43884
2015-09-02,9680
2015-09-02,43719
2015-09-02,43384
2015-09-02,43481
2015-09-02,42812
2015-09-02,43383
2015-09-02,10958
2015-09-02,40074
2015-09-02,41857
2015-09-02,37746
2015-09-02,38856
2015-09-02,43220
2015-09-02,10975
2015-09-02,43170
2015-09-02,43175
2015-09-02,18544
2015-09-02,39379
2015-09-02,40907
2015-09-02,40258
2015-09-02,43931
2015-09-02,13143
2015-09-02,43722
2015-09-02,44079
2015-09-02,44277
2015-09-02,21727
2015-09-02,37628
2015-09-02,40938
2015-09-02,39630
2015-09-02,31617
2015-09-02,43319
2015-09-03,33565
2015-09-03,31039
2015-09-03,42384
2015-09-03,32285
2015-09-03,41903
2015-09-03,35533
2015-09-03,32249
2015-09-03,43628
2015-09-03,34613
2015-09-03,39624
2015-09-03,44790
2015-09-03,39406
2015-09-03,33204
2015-09-03,35754
2015-09-03,34639
2015-09-03,45217
2015-09-03,37738
2015-09-03,45216
2015-09-03,41065
2015-09-03,35887
2015-09-04,42160
2015-09-04,32754
2015-09-04,38184
2015-09-04,41804
2015-09-04,37908
2015-09-04,14555
2015-09-04,36160
2015-09-04,40144
2015-09-04,42249
2015-09-04,41738
2015-09-04,41924
2015-09-04,38646
2015-09-04,22549
2015-09-04,36166
2015-09-04,15703
2015-09-04,36157
2015-09-04,40160
2015-09-04,44658
2015-09-04,43731
2015-09-04,44793
2015-09-04,44193
2015-09-04,32355
2015-09-04,14812
2015-09-04,44127
2015-09-04,16110
2015-09-04,14614
2015-09-04,42448
2015-09-04,38530
2015-09-04,39529
2015-09-04,35935
2015-09-04,43146
2015-09-04,26678
2015-09-04,42203
2015-09-04,42391
2015-09-04,40936
2015-09-04,40293
2015-09-04,16706
2015-09-04,21008
2015-09-04,37856
2015-09-04,39180
2015-09-04,24025
2015-09-04,41030
2015-09-04,45140
2015-09-04,40145
2015-09-04,37758
2015-09-04,44304
2015-09-04,39432
2015-09-04,43711
2015-09-04,45744
2015-09-04,39027
2015-09-04,44722
2015-09-07,40218
2015-09-07,43670
2015-09-07,43152
2015-09-07,39425
2015-09-07,39436
2015-09-07,42401
2015-09-07,45576
2015-09-07,43043
2015-09-07,41342
2015-09-07,43767
2015-09-07,43182
2015-09-07,44036
2015-09-07,42896
2015-09-07,37881
2015-09-08,44534
2015-09-08,16609
2015-09-08,40194
2015-09-08,44218
2015-09-08,43366
2015-09-08,44241
2015-09-08,41481
2015-09-08,43618
2015-09-08,39444
2015-09-08,44648
2015-09-08,14928
2015-09-08,16655
2015-09-08,41376
2015-09-08,41264
2015-09-08,46171
2015-09-08,43643
2015-09-08,43688
2015-09-08,41947
2015-09-08,43086
2015-09-08,44148
2015-09-08,44211
2015-09-08,44061
2015-09-08,43881
2015-09-08,43698
2015-09-08,44146
2015-09-08,43699
2015-09-08,44471
2015-09-08,43876
2015-09-08,27865
2015-09-08,31946
2015-09-08,41161
2015-09-08,41911
2015-09-08,44490
2015-09-08,41286
2015-09-08,44574
2015-09-08,40814
2015-09-08,44375
2015-09-08,42503
2015-09-08,44151
2015-09-08,39469
2015-09-09,40702
2015-09-09,39019
2015-09-09,43667
2015-09-09,45412
2015-09-09,38662
2015-09-09,41795
2015-09-09,37539
2015-09-09,37298
2015-09-09,42244
2015-09-09,42423
2015-09-09,45550
2015-09-09,41613
2015-09-09,45234
2015-09-09,45437
2015-09-09,41634
2015-09-09,41709
2015-09-09,44122
2015-09-09,35874
2015-09-09,40454
2015-09-09,40749
2015-09-09,42658
2015-09-09,43929
2015-09-09,41900
2015-09-09,40822
2015-09-09,43157
2015-09-09,42639
2015-09-09,40759
2015-09-09,43282
2015-09-09,37788
2015-09-10,17772
2015-09-10,41904
2015-09-10,28735
2015-09-10,42436
2015-09-10,28693
2015-09-10,38211
2015-09-10,16277
2015-09-10,28677
2015-09-10,17477
2015-09-11,32499
2015-09-11,44275
2015-09-11,30108
2015-09-11,46071
2015-09-11,33993
2015-09-11,43192
2015-09-11,38806
2015-09-11,35737
2015-09-11,43358
2015-09-11,40976
2015-09-11,42097
2015-09-11,32625
2015-09-11,41494
2015-09-11,42529
2015-09-11,40407
2015-09-11,40826
2015-09-11,40745
2015-09-11,40868
2015-09-11,17854
2015-09-11,34236
2015-09-11,31017
2015-09-11,38805
2015-09-11,43367
2015-09-11,42693
2015-09-11,38290
2015-09-11,42862
2015-09-11,42324
2015-09-11,44585
2015-09-11,44264
2015-09-11,32487
2015-09-11,40553
2015-09-11,32728
2015-09-11,30318
2015-09-11,45231
2015-09-11,43581
2015-09-14,42923
2015-09-14,34690
2015-09-14,17015
2015-09-14,44546
2015-09-14,43029
2015-09-14,43172
2015-09-14,15417
2015-09-14,32337
2015-09-14,43104
2015-09-14,12767
2015-09-14,45013
2015-09-14,45633
2015-09-14,43183
2015-09-14,37538
2015-09-14,42600
2015-09-14,45608
2015-09-14,45163
2015-09-14,29280
2015-09-14,40504
2015-09-14,40588
2015-09-14,41703
2015-09-14,39296
2015-09-14,38246
2015-09-14,35793
2015-09-14,41403
2015-09-14,44419
2015-09-14,44236
2015-09-14,37493
2015-09-15,45036
2015-09-15,40381
2015-09-15,39625
2015-09-15,41229
2015-09-15,42130
2015-09-15,42501
2015-09-15,43368
2015-09-15,43359
2015-09-15,43817
2015-09-15,44810
2015-09-15,37754
2015-09-15,45480
2015-09-15,45452
2015-09-15,44919
2015-09-15,41954
2015-09-15,44397
2015-09-15,18083
2015-09-15,39359
2015-09-15,46305
2015-09-15,43650
2015-09-15,31874
2015-09-15,43210
2015-09-15,43380
2015-09-15,44760
2015-09-15,44923
2015-09-15,44281
2015-09-15,43418
2015-09-15,11938
2015-09-15,38656
2015-09-15,36910
2015-09-15,46623
2015-09-15,40627
2015-09-15,43705
2015-09-15,41446
2015-09-15,43040
2015-09-15,43127
2015-09-15,46292
2015-09-15,29480
2015-09-15,42101
2015-09-15,42443
2015-09-16,41726
2015-09-16,42331
2015-09-16,36123
2015-09-16,45389
2015-09-16,41786
2015-09-16,42627
2015-09-16,33409
2015-09-16,45867
2015-09-16,40854
2015-09-16,40507
2015-09-16,42788
2015-09-17,41520
2015-09-17,41489
2015-09-17,37581
2015-09-17,38409
2015-09-17,45804
2015-09-17,48435
2015-09-17,45805
2015-09-17,22653
2015-09-17,43394
2015-09-17,10205
2015-09-17,42982
2015-09-17,41270
2015-09-17,43573
2015-09-18,41034
2015-09-18,45410
2015-09-18,36850
2015-09-18,46873
2015-09-18,18480
2015-09-18,46108
2015-09-18,16586
2015-09-18,45619
2015-09-18,48617
2015-09-18,45433
2015-09-18,19514
2015-09-18,28799
2015-09-18,5201
2015-09-18,44120
2015-09-18,45539
2015-09-18,36884
2015-09-18,14757
2015-09-18,44077
2015-09-18,16737
2015-09-18,42184
2015-09-18,34397
2015-09-18,18268
2015-09-18,48615
2015-09-18,45802
2015-09-18,17838
2015-09-18,42568
2015-09-18,15009
2015-09-18,44456
2015-09-18,35294
2015-09-18,32267
2015-09-18,42109
2015-09-18,38156
2015-09-18,46824
2015-09-18,41250
2015-09-18,48619
2015-09-18,43801
2015-09-18,45991
2015-09-18,46533
2015-09-18,45060
2015-09-18,45967
2015-09-18,35950
2015-09-18,45361
2015-09-18,44835
2015-09-18,46477
2015-09-21,37737
2015-09-21,48812
2015-09-21,33294
2015-09-21,45917
2015-09-21,36769
2015-09-21,28424
2015-09-21,36967
2015-09-21,379
2015-09-21,25514
2015-09-21,40237
2015-09-21,46057
2015-09-21,33783
2015-09-21,29851
2015-09-21,41837
2015-09-21,26097
2015-09-21,45271
2015-09-21,1261
2015-09-21,43822
2015-09-21,20768
2015-09-21,48805
2015-09-21,36446
2015-09-21,44590
2015-09-21,16767
2015-09-21,16101
2015-09-21,12168
2015-09-21,12857
2015-09-21,13610
2015-09-21,38964
2015-09-21,43382
2015-09-21,45649
2015-09-21,13665
2015-09-21,42785
2015-09-21,17390
2015-09-21,37962
2015-09-21,43356
2015-09-21,37978
2015-09-21,46464
2015-09-21,25988
2015-09-21,47081
2015-09-21,46279
2015-09-21,39888
2015-09-21,46666
2015-09-21,24089
2015-09-21,48819
2015-09-21,46093
2015-09-21,46632
2015-09-21,48851
2015-09-22,48945
2015-09-22,31517
2015-09-22,17647
2015-09-22,38287
2015-09-22,28824
2015-09-22,48910
2015-09-22,45510
2015-09-22,48833
2015-09-22,21109
2015-09-22,48944
2015-09-22,44088
2015-09-22,48936
2015-09-22,45632
2015-09-22,15670
2015-09-22,48932
2015-09-22,48930
2015-09-22,48919
2015-09-22,48923
2015-09-22,48920
